Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;2006;2006;1000 tonnes;47;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;2007;2007;1000 tonnes;44;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;2008;2008;1000 tonnes;49;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;2009;2009;1000 tonnes;54;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;2010;2010;1000 tonnes;48;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;2011;2011;1000 tonnes;65;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;2012;2012;1000 tonnes;59;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;2013;2013;1000 tonnes;62;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;1998;1998;1000 tonnes;538;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;1999;1999;1000 tonnes;420;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;2000;2000;1000 tonnes;722;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;2001;2001;1000 tonnes;530;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;2002;2002;1000 tonnes;550;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;2003;2003;1000 tonnes;1005;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;2004;2004;1000 tonnes;895;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;2005;2005;1000 tonnes;799;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;2006;2006;1000 tonnes;1268;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;2007;2007;1000 tonnes;1475;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;2008;2008;1000 tonnes;1682;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;2009;2009;1000 tonnes;1356;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;2010;2010;1000 tonnes;2964;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;2011;2011;1000 tonnes;4086;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;2012;2012;1000 tonnes;5158;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2513;Barley and products;2013;2013;1000 tonnes;4705;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;1998;1998;1000 tonnes;20;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;1999;1999;1000 tonnes;20;S;Standardized data
